Country,Data Quality,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint Production,Grazing Footprint Production,Forest Product Footprint Production,Fish Footprint Production,Built up land Production,Carbon Footprint Production,Total Ecological Footprint (Production),Cropland Footprint Consumption,Grazing Footprint Consumption,Forest Product Footprint Consumption,Fish Footprint Consumption,Built up land Consumption,Carbon Footprint Consumption,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,actual Country Overshoot Day 2018
French Guiana,2A,,,,,South America,,0.282937988,0.089147877,0.057279948,0.381224677,0.069496626,0.005051907,0.733013175,1.335214211,0.089147877,0.057279948,0.372336957,0.069496626,0.005051907,1.28510464,1.878417955,0.089147877,0.066529067,78.24551954,13.73367199,0.005051907,92.13992038,90.26150242,1.186901146,0.020386581,43408.5235
French Polynesia,2B,,77.462,,-,Asia-Pacific,HI,0.277678986,,,,,,,2.124095402,,,,,,,3.995740718,,,,,,1.305752297,-2.689988421,2.524757189,3.060106215,43245.56836
Gabon,2A,62.8,66.187,0.697,9051.324193,Africa,UM,2.11927002,0.242869622,0.021712258,0.856456057,0.062002762,0.040632233,0.405671874,1.629344806,0.501665026,0.128142597,0.543314426,0.157832838,0.040632233,0.581752217,1.953339338,0.242869622,1.020464485,15.35992044,2.259340248,0.040632233,18.92322703,16.96988769,1.234241129,0.103224431,43396.72827
Gambia,3A,59.3,61.735,0.487,791.4555699,Africa,LI,2.280090088,0.133736754,0.030666619,0.147233754,0.079442522,0.018200941,0.091173608,0.500454199,0.460530932,0.050473764,0.141443538,0.077008497,0.018200941,0.293079662,1.040737334,0.133736754,0.030666619,0.082260822,0.250954227,0.018200941,0.515819364,-0.52491797,0.657602495,2.017639133,
Georgia,2A,72.2,73.6,0.805,4407.485563,Middle East/Central Asia,LM,4.002939941,0.130682026,0.210489358,0.065582545,0.19358458,0.047310425,0.909794894,1.557443829,0.390931744,0.176733382,0.136249525,0.194319627,0.047310425,1.374363872,2.319908575,0.130682026,0.395360675,0.641233756,0.04903832,0.047310425,1.263625202,-1.056283373,1.465862344,1.835915089,43350.00019
Germany,3A,82.5,80.8927,0.946,47158.23601,EU,HI,83.12439844,0.532445131,0.081539512,0.54285907,0.026264446,0.12882417,2.970487295,4.282419624,0.692994815,0.187526154,0.5775153,0.043506767,0.12882417,3.041970615,4.672337821,0.532445131,0.081539512,0.678891103,0.07221766,0.12882417,1.493917576,-3.178420245,2.952273267,3.127574035,43224.63354
Ghana,3A,62.5,63.78,0.606,1808.328682,Africa,LM,29.76709961,0.753691144,0.059457481,0.666246343,0.114841556,0.094041199,0.20518879,1.893466514,0.585513633,0.075819343,0.675229786,0.178237797,0.094041199,0.395822774,2.004664532,0.753691144,0.193536042,0.207244223,0.051256032,0.094041199,1.29976864,-0.704895891,1.266671575,1.542324126,43389.15678
Greece,3A,75.4,81.7878,0.881,24044.40091,EU,HI,10.5222002,0.567387698,0.149852671,0.065790544,0.044834694,0.049505382,2.144093203,3.021464192,0.702938901,0.377461489,0.302572964,0.101197554,0.049505382,2.565379008,4.099055298,0.567387698,0.149852671,0.21935891,0.18210848,0.049505382,1.168213141,-2.930842157,2.590037758,3.50882485,43241.92459
Grenada,2B,,72.384,0.773,9091.732718,Central America/Caribbean,UM,0.111454002,,,,,,,1.695069943,,,,,,,2.536141982,,,,,,2.098153395,-0.437988587,1.602492042,1.208749555,43328.77024
Guadeloupe,2B,,,,,Central America/Caribbean,,0.399847992,,,,,,,2.114427028,,,,,,,3.617298272,,,,,,0.514995007,-3.102303266,2.285633744,7.023948243,43260.69313
Guatemala,3A,59.9,74.063,0.657,3164.177317,Central America/Caribbean,LM,17.24780078,0.414234622,0.139119143,0.48345984,0.021751149,0.085763177,0.358558011,1.502885943,0.413515325,0.160352895,0.570213142,0.026855815,0.085763177,0.563132014,1.819832369,0.414234622,0.139119143,0.284525305,0.040878379,0.085763177,0.964520626,-0.855311743,1.149883133,1.886773926,43418.42356
Guinea,3A,51,61.185,0.473,897.1186595,Africa,LI,12.4142998,0.464089244,0.48327992,0.411296678,0.086963871,0.05979399,0.075352626,1.580776329,0.616641405,0.492293944,0.412389151,0.085629984,0.05979399,0.177267441,1.844015915,0.464089244,0.694660276,0.558303023,0.28139794,0.05979399,2.058244473,0.214228557,1.1651638,0.895916855,43414.26068
Guinea-Bissau,3A,,58.003,0.472,622.6911218,Africa,LI,1.874300049,0.61343333,0.077655434,0.63112054,0.012787846,0.088748859,0.059346284,1.483092293,0.568370246,0.079981126,0.627770398,0.003139636,0.088748859,0.099031674,1.46704194,0.61343333,0.077655434,0.294475368,1.591544837,0.088748859,2.665857828,1.198815889,0.926968226,0.550307644,
Guyana,3A,57.9,69.774,0.68,5825.025877,South America,LM,0.779005981,1.007838119,0.056442321,0.677808708,0.069398824,0.087245545,1.062567176,2.961300693,0.884313395,0.090071591,0.577209866,0.039144364,0.087245545,1.729191821,3.407176582,1.007838119,0.977860852,65.40438232,5.225892708,0.087245545,72.70321954,69.29604296,2.152865808,0.046864177,43270.54145
Haiti,3A,51.4,63.66,0.508,1282.238902,Central America/Caribbean,LI,11.1232002,0.154639544,0.029667281,0.086762148,0.002406714,0.024839005,0.104943042,0.403257734,0.32567401,0.039874575,0.098211049,0.019751562,0.024839005,0.128987739,0.63733794,0.154639544,0.029667281,0.026424145,0.010995748,0.024839005,0.246565723,-0.390772217,0.4027097,2.584860261,
Honduras,2B,62.8,75.088,0.633,2219.43746,Central America/Caribbean,LM,9.587519531,,,,,,,1.371073248,,,,,,,1.574554706,,,,,,1.73681577,0.162261065,0.99490147,0.906575546,
Hungary,2A,78.8,76.0659,0.85,16894.154,EU,HI,9.7075,1.579886783,0.023080708,0.326661696,0.002134534,0.178949176,1.742000675,3.852713572,0.741274264,0.076748428,0.439703054,0.025270342,0.178949176,2.403924485,3.86586975,1.579886783,0.083131068,0.723008287,0.006668403,0.178949176,2.571643718,-1.294226032,2.442696644,1.503268016,43250.42502
India,3A,60.1,69.416,0.642,2084.811923,Asia-Pacific,LM,1352.64,0.343792555,0.003092141,0.109982927,0.022006909,0.051241155,0.628086266,1.158201953,0.339696202,0.007418747,0.118340278,0.016353391,0.051241155,0.676506728,1.209556501,0.343792555,0.003092141,0.020490744,0.02695171,0.051241155,0.445568305,-0.763988196,0.764272932,2.71463766,
Indonesia,3A,66.3,71.509,0.712,4296.318989,Asia-Pacific,LM,267.671,0.512430768,0.01707288,0.269002079,0.261174368,0.061119006,0.736910404,1.857709504,0.49868241,0.042726674,0.182644735,0.229114552,0.061119006,0.702893674,1.717181051,0.512430768,0.052133097,0.269884735,0.344678094,0.061119006,1.240245699,-0.476935352,1.085021654,1.384549088,43437.39882
"Iran, Islamic Republic of",2A,70,76.479,0.785,6442.526789,Middle East/Central Asia,UM,81.80020313,0.347726615,0.066210401,0.003667484,0.185180459,0.072262641,2.636458421,3.311506021,0.561129417,0.0959904,0.04821997,0.162093707,0.072262641,2.318828581,3.258524715,0.347726615,0.066210401,0.057621337,0.181347044,0.072262641,0.725168038,-2.533356677,2.058938325,4.493475364,43278.27583
Iraq,2A,63.8,70.454,0.671,5463.968805,Middle East/Central Asia,LM,38.43360156,0.079560779,0.016075147,0.002223245,0.001545877,0.018912582,1.169660571,1.287978202,0.377793884,0.049171864,0.024288153,0.010236324,0.018912582,1.283928241,1.764331047,0.079560779,0.016075147,0.03957816,0.002048276,0.018912582,0.156174945,-1.608156102,1.114813951,11.29714532,43428.40889
Ireland,2A,81,82.2561,0.951,77406.93104,EU,HI,4.818689941,0.388757881,0.730523137,0.496037792,0.384090586,0.077059505,2.658308824,4.734777725,0.939299173,0.32440116,0.594408198,0.14972213,0.077059505,3.166011512,5.250901679,0.388757881,0.730523137,0.457542214,1.418880613,0.077059505,3.07276335,-2.178138329,3.317845851,1.708853264,43211.01114
Israel,3A,75,82.8024,0.916,36866.82335,Middle East/Central Asia,HI,8.381519531,0.102443192,0.006076944,0.0021599,0.001076741,0.034360969,2.553073872,2.699191619,0.720386949,0.323882251,0.298623285,0.081221658,0.034360969,3.200943445,4.659418557,0.102443192,0.006076944,0.025675395,0.014640234,0.034360969,0.183196734,-4.476221824,2.944110074,25.43396086,43224.97634
Italy,3A,78.8,83.3463,0.89,35277.49799,EU,HI,60.66189844,0.373693207,0.033288418,0.09263544,0.022668577,0.041642444,1.866110739,2.430038825,0.765745678,0.282116677,0.466807362,0.135451617,0.041642444,2.618768843,4.310532621,0.373693207,0.033288418,0.312043397,0.060803402,0.041642444,0.821470868,-3.489061753,2.723662267,5.247334739,43235.01074
Jamaica,3A,69,74.368,0.734,4855.273532,Central America/Caribbean,UM,2.934850098,0.111248233,0,0.101302675,0.006202783,0.033178154,0.999181924,1.251113769,0.423745729,0.083304652,0.17677395,0.090268408,0.033178154,0.826584923,1.633855816,0.111248233,0,0.166891631,0.107362413,0.033178154,0.418680431,-1.215175385,1.032371595,3.902393557,43454.55487
Japan,3A,79.8,84.211,0.917,48505.52664,Asia-Pacific,HI,127.202,0.084842002,3.06993E-05,0.144963166,0.164612138,0.060490381,3.110110181,3.565048567,0.439604145,0.122229939,0.226045669,0.259038958,0.060490381,3.500283294,4.607692386,0.084842002,0.007452168,0.339437266,0.099871565,0.060490381,0.592093382,-4.015599004,2.911426266,7.782036623,43226.36811
Jordan,3A,70.1,74.405,0.728,3306.657384,Middle East/Central Asia,UM,9.965320313,0.054573495,0.012390494,0.014067298,0.000616064,0.06361002,0.851309767,0.996567138,0.434926051,0.126572178,0.130518294,0.0235079,0.06361002,0.977921417,1.75705586,0.054573495,0.012390494,0.018039566,0.002037995,0.06361002,0.15065157,-1.60640429,1.110217035,11.6630438,43429.76455
Kazakhstan,3A,71.6,73.15,0.819,11135.61455,Middle East/Central Asia,UM,18.31959961,1.557376753,0.144391019,0.010253295,0.017018062,0.049396118,4.098186421,5.876621669,0.919087105,0.164912577,0.060845823,0.02310552,0.049396118,3.733538568,4.950885713,1.557376753,1.703414633,0.214119941,0.050142425,0.049396118,3.574449871,-1.376435842,3.128277128,1.385076275,43217.67764
Kenya,3A,60.6,66.342,0.599,1201.476441,Africa,LI,51.39260156,0.200280858,0.19841767,0.207674832,0.022150554,0.042731331,0.120487797,0.791743041,0.267125721,0.196572059,0.227498935,0.024660666,0.042731331,0.243520382,1.002109094,0.200280858,0.19841767,0.011652602,0.015596954,0.042731331,0.468679414,-0.53342968,0.633194774,2.138154703,
"Korea, Democratic People's Republic of",3A,,72.095,,-,Asia-Pacific,LI,25.54959961,0.193831976,0.001439712,0.132791252,0.016892086,0.047717524,0.710350613,1.103023163,0.243554203,0.002000366,0.135266042,0.027298562,0.047717524,0.710350613,1.166187311,0.193831976,0.001439712,0.223357153,0.091446356,0.047717524,0.55779272,-0.608394591,0.736869583,2.090718054,
"Korea, Republic of",3A,78.6,82.6268,0.914,28335.9752,Asia-Pacific,HI,51.17169922,0.115833907,0.000841145,0.059983954,0.313474646,0.054792558,4.340709868,4.885636079,0.688251278,0.184888535,0.22660506,0.429459812,0.054792558,4.732822589,6.316819832,0.115833907,0.000841145,0.088572782,0.383698925,0.054792558,0.643739318,-5.673080513,3.991359152,9.81269848,43192.44755
Kuwait,3A,62.5,75.398,0.807,33113.30262,Middle East/Central Asia,HI,4.137310059,0.021511936,0.005486297,0.001863918,0.00332986,0.180293068,7.718460495,7.930945573,0.670340625,0.27736305,0.20400117,0.085871238,0.180293068,6.481860847,7.899729998,0.021511936,0.005486297,0.002785317,0.291276847,0.180293068,0.501353465,-7.398376534,4.991540121,15.75680743,43174.12372
Kyrgyzstan,2A,74,71.4,0.696,1094.116023,Middle East/Central Asia,LI,6.304029785,0.424917988,0.210791165,0.003215628,1.819E-06,0.083749627,0.599923419,1.322599645,0.446365359,0.175179103,0.04566005,0.00451445,0.083749627,0.786083141,1.541551729,0.424917988,0.543429387,0.102162782,0.047116429,0.083749627,1.201376213,-0.340175516,0.974048139,1.283154862,
Lao People's Democratic Republic,3A,63,67.61,0.609,1785.58133,Asia-Pacific,LM,7.061509766,0.744426558,0.082840571,0.448903829,0.014100829,0.152221589,0.861961636,2.304455012,0.743437509,0.242819774,0.362939349,0.016440942,0.152221589,0.322027671,1.839886834,0.744426558,0.116994671,0.652271903,0.030969914,0.152221589,1.696884634,-0.1430022,1.16255479,1.084273378,43414.9637
Latvia,3A,79.2,74.7829,0.863,16252.39862,EU,HI,1.928459961,1.315545796,0.157505098,4.295845128,0.284350259,0.092116992,1.405372264,7.550735536,0.792463097,0.146518152,3.19164858,0.25642785,0.092116992,1.925999172,6.405173843,1.315545796,0.240059469,4.445196461,2.062752494,0.092116992,8.155671213,1.75049737,4.047186704,0.785364402,43191.1861
Lebanon,3A,66.8,78.875,0.747,6204.862959,Middle East/Central Asia,UM,6.859410156,0.125671968,0.030435914,0.001746535,0.00300246,0.053907915,1.366525911,1.581290703,0.581943834,0.330453242,0.146353125,0.042287344,0.053907915,1.808771744,2.963717203,0.125671968,0.030435914,0.038204254,0.004937828,0.053907915,0.253157878,-2.710559325,1.872660626,11.70699179,43295.90985
Lesotho,3A,54.6,53.705,0.522,1374.514375,Africa,LM,2.108330078,0.06891613,0.426778276,0.387397547,3.56494E-05,0.008082973,0.40979566,1.301006235,0.253515157,0.254983708,0.423464136,0.00805345,0.008082973,0.596044203,1.544143627,0.06891613,0.718018323,0.001815046,0,0.008082973,0.796832471,-0.747311155,0.975685861,1.937852286,
Liberia,2A,48.6,63.73,0.48,541.2712434,Africa,LI,4.818970215,0.139432727,0.02153183,0.784126761,0.043241233,0.034709586,0.071189095,1.094231232,0.288645224,0.033543218,0.761355517,0.051751399,0.034709586,0.072956738,1.242961682,0.139432727,0.333554566,2.201889676,0.279127381,0.034709586,2.988713936,1.745752254,0.7853804,0.415885129,
Libyan Arab Jamahiriya,3A,,72.724,0.721,8038.589086,Africa,UM,6.678560059,0.121274474,0.20992052,0.070868844,0.043447571,0.015264197,2.459471179,2.920246786,0.726751267,0.23781895,0.096128304,0.092637547,0.015264197,2.112534342,3.281134607,0.121274474,0.20992052,0.018009529,0.23478215,0.015264197,0.599250871,-2.681883736,2.073224659,5.475393975,43277.05424
Lithuania,3A,76.7,75.6805,0.876,17744.05083,EU,UM,2.80126001,1.857191842,0.145052481,1.522805277,0.134357921,0.123577089,1.632263423,5.415248034,0.846849657,0.339866908,1.351889581,0.208655247,0.123577089,3.129946118,6.000784599,1.857191842,0.146038294,2.302203918,0.320908092,0.123577089,4.749919235,-1.250865365,3.791668461,1.263344555,43197.26369
Luxembourg,3A,74.2,82.2951,0.913,111380.6495,EU,HI,0.604244995,0.296401959,0.072450154,0.470086104,0,0.084863257,5.340120914,6.263922389,0.842740338,0.600762026,1.588926288,0.137490716,0.084863257,9.695576386,12.95035901,0.296401959,0.072450154,0.753402715,0.000603217,0.084863257,1.207721302,-11.74263771,8.182841262,10.72296977,43145.60553
Madagascar,3A,49,66.681,0.527,490.0979586,Africa,LI,26.26230078,0.208615515,0.315627086,0.215441627,0.020234246,0.061678335,0.042488128,0.864084937,0.244842676,0.313680127,0.21809123,0.01848947,0.061678335,0.094271232,0.95105307,0.208615515,1.103992071,0.655478043,0.180545098,0.061678335,2.210309062,1.259255992,0.600934406,0.430280582,
Malawi,3A,51.4,63.798,0.478,515.1098154,Africa,LI,18.14319922,0.480070807,0.065684686,0.177599713,0.01970802,0.066612354,0.029391954,0.839067533,0.464461295,0.066385115,0.17820055,0.02105264,0.066612354,0.083661145,0.880373098,0.480070807,0.065684686,0.014172085,0.048616961,0.066612354,0.675156892,-0.205216205,0.556274409,1.303953359,
Malaysia,3A,70.9,75.997,0.805,12116.21416,Asia-Pacific,UM,31.528,0.72196571,0.001967314,0.35623179,0.411171947,0.070183455,2.649203178,4.210723393,0.708311653,0.133881272,0.360094745,0.43248018,0.070183455,2.554503133,4.259454438,0.72196571,0.016963767,0.572719426,0.779301378,0.070183455,2.161133736,-2.098320702,2.691387899,1.970935147,43236.61776
Mali,3A,52.2,58.893,0.431,778.7259789,Africa,LI,19.07769922,0.671913355,0.553318599,0.144038632,0.011621539,0.097459729,0.093360576,1.571712429,0.688032593,0.476009491,0.143437374,0.032710062,0.097459729,0.191385349,1.629034597,0.671913355,0.553318599,0.514359819,0.038211167,0.097459729,1.875262669,0.246228072,1.029325249,0.868696756,43455.60123
Malta,2B,75.7,82.4488,0.894,31603.55983,EU,HI,0.439247986,,,,,,,1.356756897,,,,,,,5.45122858,,,,,,0.485370073,-4.965858508,3.444424831,11.23107683,43206.96835
Martinique,2B,,,,,Central America/Caribbean,,0.375673004,,,,,,,2.029180708,,,,,,,3.493896182,,,,,,0.408065287,-3.085830895,2.207660638,8.562100956,43266.33338
Mauritania,2A,55.5,64.704,0.542,1703.863662,Africa,LM,4.403310059,0.109650546,1.439713864,0.190796856,0.406139034,0.058063032,0.279842312,2.484205644,0.45295273,1.306229714,0.196751741,0.079472205,0.058063032,0.423165804,2.516635226,0.109650546,2.512145099,0.054254462,1.186868595,0.058063032,3.920981734,1.404346508,1.590166462,0.641838039,43330.53572
Mauritius,2B,66.7,74.4163,0.801,10561.40012,Africa,UM,1.267189941,,,,,,,1.76567105,,,,,,,3.220002303,,,,,,0.66701931,-2.552982994,2.034597472,4.827449906,43280.39666
Mexico,3A,69.1,74.992,0.776,10381.08898,North America,UM,126.191,0.316974736,0.228653925,0.159127814,0.079978608,0.042964061,1.224696118,2.052395263,0.524909996,0.227248873,0.275353787,0.082510799,0.042964061,1.229474458,2.382461973,0.316974736,0.228653925,0.433337109,0.132673901,0.042964061,1.154603733,-1.22785824,1.505387466,2.063445584,43343.46249
Mongolia,3A,63.8,69.689,0.735,4210.84345,Asia-Pacific,LM,3.170219971,0.167473229,5.442318309,0.106841715,1.20073E-05,0.024100359,2.318098283,8.058843903,0.333848725,4.441324354,0.14928882,0.003768483,0.024100359,2.323384826,7.275715567,0.167473229,7.221814683,6.650153304,0.078883165,0.024100359,14.14242474,6.866709174,4.597249041,0.514460264,43180.39531
Montenegro,3A,68.2,76.77,0.826,8179.748663,Other Europe,UM,0.627809021,0.063444586,0.179040952,0.801104572,0.015084802,0.00885123,1.359245495,2.426771638,0.634547105,0.422588562,0.600006763,0.071576218,0.00885123,2.491201151,4.22877103,0.063444586,0.188679283,2.010323553,0.23974649,0.00885123,2.511045143,-1.717725887,2.672000215,1.684068103,43237.60179
Morocco,2A,70.5,76.453,0.68,3413.906944,Africa,LM,36.02910156,0.430324468,0.154026931,0.075136459,0.117583944,0.049339504,0.617148294,1.443559601,0.662856191,0.158141496,0.150494685,0.070982242,0.049339504,0.661740075,1.753554193,0.430324468,0.154026931,0.087786401,0.067076198,0.049339504,0.788553503,-0.965000691,1.108004465,2.223760579,43430.42106
Mozambique,3A,51.1,60.163,0.452,592.5108489,Africa,LI,29.496,0.226762008,0.018636339,0.26051956,0.02439798,0.051853037,0.091207481,0.673376406,0.279171864,0.022895347,0.245616784,0.032953113,0.051853037,0.16668275,0.799172896,0.226762008,0.659216321,0.488341753,0.142141927,0.051853037,1.568315047,0.769142151,0.504967078,0.509574207,
Myanmar,3A,64.9,66.867,0.579,1573.149751,Asia-Pacific,LI,53.70830078,0.94782197,0.004596332,0.325187308,0.062148517,0.120208668,0.202748541,1.662711335,0.841386925,0.009109125,0.338093364,0.045703129,0.120208668,0.303670266,1.658171478,0.94782197,0.004596332,0.509579778,0.28042971,0.120208668,1.862636458,0.20446498,1.04773574,0.890228188,43449.37029
Namibia,2A,61.8,63.373,0.645,5942.286366,Africa,UM,2.448300049,0.126108932,1.261120934,0.242007893,2.146414626,0.01954128,0.561778176,4.356971839,0.295431142,0.245578812,0.255426742,0.511770956,0.01954128,1.182303678,2.51005261,0.126108932,1.477018397,0.307029024,4.391927788,0.01954128,6.321625421,3.811572811,1.586007156,0.397058105,43331.13768
Nepal,3A,66.5,70.478,0.596,817.5521748,Asia-Pacific,LI,28.09569922,0.368480584,0.046871205,0.191522682,0.001138086,0.103597262,0.161269644,0.872879462,0.476259635,0.059520523,0.199757371,0.004084282,0.103597262,0.346222978,1.189442051,0.368480584,0.046871205,0.093844374,0.004968728,0.103597262,0.617762153,-0.571679899,0.751563373,1.925404536,
Netherlands,3A,81.6,81.8122,0.942,55369.23301,EU,HI,17.08530078,0.175777387,0.042455148,0.083622666,0.14151199,0.069512543,3.106238475,3.619118208,1.044269992,0.580030656,0.341892206,0.002169234,0.069512543,3.653693152,5.691567783,0.175777387,0.042455148,0.074609309,0.417288819,0.069512543,0.779643204,-4.911924578,3.596286068,7.300221114,43202.49359
New Zealand,2B,79.1,81.8585,0.928,39214.61242,Asia-Pacific,HI,4.743129883,,,,,,,12.0559431,,,,,,,5.300244543,,,,,,8.835597367,3.535352824,3.349023737,0.599873933,43209.98699
Nicaragua,3A,66.3,74.275,0.659,1857.056685,Central America/Caribbean,LM,6.4655,0.379832964,0.542100937,0.374157627,0.09243972,0.048174065,0.267235351,1.703940664,0.292928057,0.19929591,0.398710839,0.026138972,0.048174065,0.462215621,1.427463465,0.379832964,0.542100937,0.771101925,0.452359615,0.048174065,2.193569506,0.766106041,0.901960087,0.650749138,
Niger,3A,49.5,62.024,0.391,552.3241115,Africa,LI,22.44280078,0.829996365,0.393352156,0.217472322,0.005027387,0.041239425,0.028502173,1.515589828,0.820321441,0.388201499,0.218267801,0.007406292,0.041239425,0.067933192,1.54336965,0.829996365,0.393352156,0.036322557,0.000487226,0.041239425,1.301397729,-0.241971921,0.975196814,1.185932337,
Nigeria,3A,48.9,54.332,0.534,2384.17358,Africa,LM,195.875,0.482714933,0.089865518,0.162991563,0.021241884,0.05532783,0.165229471,0.9773712,0.50899083,0.095732683,0.167971456,0.039811585,0.05532783,0.219887079,1.087721464,0.482714933,0.096380984,0.037174141,0.015992059,0.05532783,0.687589947,-0.400131518,0.687289987,1.581933345,
