Country,Data Quality,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint Production,Grazing Footprint Production,Forest Product Footprint Production,Fish Footprint Production,Built up land Production,Carbon Footprint Production,Total Ecological Footprint (Production),Cropland Footprint Consumption,Grazing Footprint Consumption,Forest Product Footprint Consumption,Fish Footprint Consumption,Built up land Consumption,Carbon Footprint Consumption,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,actual Country Overshoot Day 2018
Norway,3A,82,82.7585,0.956,91608.0307,Other Europe,HI,5.337959961,0.155602588,0.317249678,1.528456798,5.518731037,0.027374614,2.783049966,10.33046468,0.829313648,0.27692904,0.885709249,1.151711518,0.027374614,2.497864842,5.668902911,0.155602588,0.57495203,3.298118537,2.852440132,0.027374614,6.908487901,1.23958499,3.581964994,0.820570723,43202.89938
Oman,3A,70.1,77.633,0.813,15796.76375,Middle East/Central Asia,HI,4.829470215,0.06504009,0.029494995,0.003817374,0.778101993,0.225544032,5.405112192,6.507110677,0.544729701,0.313935902,0.133358858,0.427853167,0.225544032,4.642996495,6.288418154,0.06504009,0.029494995,0.000992628,1.105915326,0.225544032,1.426987071,-4.861431083,3.973413208,4.406780047,43192.86057
Pakistan,3A,57.7,67.114,0.552,1196.826055,Asia-Pacific,LM,212.228,0.244267541,0.003276759,0.065759377,0.020696411,0.03755953,0.308425197,0.679984815,0.255168459,0.004501895,0.078533248,0.011647569,0.03755953,0.383623769,0.771034469,0.244267541,0.003276759,0.01884855,0.030168359,0.03755953,0.334120738,-0.436913731,0.487187472,2.307652236,
Panama,3A,68,78.329,0.812,11755.11774,Central America/Caribbean,UM,4.176870117,0.141205161,0.392724968,0.158364086,0.64230359,0.027534418,0.813337721,2.175469945,0.434266817,0.402243563,0.190293114,0.435555576,0.027534418,1.433188655,2.923082143,0.141205161,0.392724968,1.401772768,0.550614713,0.027534418,2.513852029,-0.409230114,1.846984871,1.162790057,43298.61938
Papua New Guinea,2A,51.3,64.263,0.549,2397.656519,Asia-Pacific,LM,8.606320313,0.343028558,0.000153971,0.570809843,0.997205053,0.140351169,0.218261878,2.269810471,0.277845425,0.023722779,0.26878759,0.793047244,0.140351169,0.21842618,1.722180388,0.343028558,0.031125474,2.30736797,0.604420784,0.140351169,3.426293954,1.704113566,1.088180546,0.502636496,43436.42228
Paraguay,3A,66.9,74.131,0.727,5379.589473,South America,LM,6.956069824,2.397862141,1.783508906,0.808379952,0.006716913,0.128742649,0.427148533,5.552359093,0.689373086,0.829807058,0.829867396,0.009301141,0.128742649,0.582858478,3.069949807,2.397862141,2.191516144,5.296137375,0.049527464,0.128742649,10.06378577,6.993835965,1.939784984,0.305049201,43289.16518
Peru,3A,71.1,76.516,0.771,6439.653102,South America,UM,31.98930078,0.330647258,0.482691394,0.107475826,0.565315534,0.080884704,0.578583781,2.145598496,0.497538245,0.469493455,0.165833495,0.46420106,0.080884704,0.67949614,2.357447099,0.330647258,0.482691394,2.511773341,0.190246216,0.080884704,3.596242913,1.238795814,1.489581515,0.655530551,43346.03526
Philippines,3A,64.5,71.095,0.711,3187.968233,Asia-Pacific,LM,106.651,0.304242829,0.004479404,0.06611916,0.202044701,0.057233457,0.447010806,1.081130357,0.422723633,0.03799493,0.10893891,0.208882588,0.057233457,0.632082538,1.467856055,0.304242829,0.01444122,0.07748644,0.061223999,0.057233457,0.514627945,-0.95322811,0.927482634,2.852266515,
Poland,3A,80.2,77.6024,0.877,16665.96277,EU,HI,37.92160156,0.819506746,0.071313535,0.810039492,0.026380114,0.102389561,2.885591319,4.715220768,0.643771094,0.022908563,0.899150006,0.069629006,0.102389561,3.016897501,4.75474573,0.819506746,0.071313535,0.781963067,0.108252145,0.102389561,1.883425054,-2.871320676,3.004343703,2.524520803,43222.49076
Portugal,3A,78.6,81.3244,0.86,24180.49524,EU,HI,10.2562002,0.244691772,0.090514997,0.90719952,0.217497831,0.027642727,1.698572353,3.186119201,0.83249747,0.352087722,0.407803804,0.358219896,0.027642727,2.573446744,4.551698363,0.244691772,0.090514997,0.855697435,0.075176561,0.027642727,1.293723492,-3.257974871,2.876045764,3.518293043,43227.91036
Qatar,3A,66.7,80.1,0.845,63990.10827,Middle East/Central Asia,HI,2.781679932,0.007114608,6.57895E-05,0.000693647,0.075823037,0.049123021,11.81037768,11.94319779,0.706292671,0.342248767,0.190356804,0.159984587,0.049123021,12.82294774,14.27095359,0.007114608,6.57895E-05,0,0.864049718,0.049123021,0.920353137,-13.35060046,9.01727495,15.50595421,43141.47786
Republic of Moldova,3A,73.7,71.808,0.746,2355.723465,Other Europe,LM,4.051939941,1.031969879,0.058788272,0.121494301,3.86808E-05,0.065430447,0.708268426,1.985990005,0.539242191,0.060783807,0.193669693,0.050311197,0.065430447,0.959221426,1.868658761,1.031969879,0.058788272,0.080826297,0.008677919,0.065430447,1.245692813,-0.622965948,1.18073468,1.500095964,43410.12957
Republic of North Macedonia,3A,72.5,75.688,0.77,5452.001101,Other Europe,UM,2.082959961,0.413879318,0.153601713,0.163617498,0.000396098,0.026921798,1.264778934,2.023195359,0.65999578,0.233660898,0.307379945,0.032763737,0.026921798,1.836879525,3.097601683,0.413879318,0.153601713,0.889261896,0.009466788,0.026921798,1.493131513,-1.60447017,1.957257157,2.074567214,43287.48546
Réunion,2B,,,,,Africa,,0.882526001,,,,,,,2.144916123,,,,,,,4.593538374,,,,,,0.174215295,-4.419323079,2.902482882,26.36702114,43226.7544
Romania,3A,75,75.3585,0.823,11534.85343,EU,UM,19.50609961,1.567448431,0.134990407,0.478648727,0.001018034,0.190782582,1.367671981,3.740560162,1.046821657,0.08558375,0.55556611,0.042577913,0.190782582,1.663052981,3.584384993,1.567448431,0.134990407,1.19320339,0.091816283,0.190782582,3.178241092,-0.406143901,2.26483709,1.12778889,43262.15949
Russian Federation,3A,73.8,72.6622,0.823,11939.56112,Other Europe,UM,145.734,0.993399224,0.021292756,1.088069806,0.289734829,0.039187935,3.995310641,6.426995191,0.63963851,0.091204581,0.745655959,0.189080123,0.039187935,3.605867586,5.310634694,0.993399224,0.332448847,4.185329472,1.165169473,0.039187935,6.71553495,1.404900256,3.35558888,0.79079846,43209.77375
Rwanda,3A,57.6,68.7,0.54,845.3991221,Africa,LI,12.302,0.289002804,0.047500445,0.221653639,0.00240736,0.042840124,0.037041707,0.640446079,0.323964028,0.0433152,0.2250087,0.021299334,0.042840124,0.102909096,0.759336481,0.289002804,0.047500445,0.00751886,0.00494797,0.042840124,0.391810204,-0.367526277,0.479795956,1.938021198,
Saint Lucia,3A,,76.057,0.758,9237.391651,Central America/Caribbean,UM,0.181889008,0.081443677,0.001494717,0.019679803,0.159746379,0.001890357,0.664919605,0.929174538,0.451205469,0.160333659,0.078905426,0.219222122,0.001890357,1.352229203,2.263786236,0.081443677,0.001494717,0.09493946,0.14070497,0.001890357,0.320473181,-1.943313054,1.430400763,7.063886679,43356.17324
Samoa,2B,,73.187,0.709,3753.968094,Asia-Pacific,LM,0.196128998,,,,,,,1.487217315,,,,,,,2.651613831,,,,,,1.743779349,-0.907834482,1.675454329,1.520613163,43318.85136
Sao Tome and Principe,2B,58.8,70.17,0.624,1296.747352,Africa,LM,0.211028,,,,,,,0.952368578,,,,,,,1.28480353,,,,,,0.772470532,-0.512332998,0.811818679,1.663239537,
Saudi Arabia,3A,66.3,74.998,0.854,20829.12944,Middle East/Central Asia,HI,33.70280078,0.066818867,0.049091594,0.0033708,0.026309164,0.038600179,5.641992717,5.826183321,0.646579725,0.170916426,0.169133576,0.061169838,0.038600179,3.869026717,4.95542646,0.066818867,0.099939922,0.053449212,0.150009672,0.038600179,0.408817852,-4.546608608,3.131146254,12.12135536,43217.57073
Senegal,3A,58.4,67.665,0.516,1547.100806,Africa,LM,15.8542998,0.375897014,0.151517283,0.168885455,0.206170702,0.053255478,0.215154526,1.170880458,0.560649897,0.182343242,0.182695896,0.109171463,0.053255478,0.323906606,1.412022582,0.375897014,0.151517283,0.379301454,0.148697437,0.053255478,1.108668666,-0.303353916,0.892203578,1.273619996,
Serbia,3A,75.6,75.8902,0.803,5471.835506,Other Europe,UM,8.80275,1.106910585,0.017902985,0.392321835,0.001866697,0.078951831,1.757267239,3.355221172,0.752455762,0.035964248,0.493796566,0.03176845,0.078951831,1.677575631,3.070512487,1.106910585,0.017902985,0.473197481,0.003565095,0.078951831,1.680527977,-1.38998451,1.940140521,1.827111794,43289.1307
Sierra Leone,3A,51.7,54.309,0.447,472.8260291,Africa,LI,7.650149902,0.364908925,0.078038213,0.321208499,0.089340858,0.051178007,0.067815584,0.972490086,0.451785392,0.094879998,0.30980591,0.089612903,0.051178007,0.136433839,1.133696048,0.364908925,0.276401922,0.130214079,0.175295482,0.051178007,0.997998416,-0.135697633,0.716339585,1.135969788,
Singapore,3A,69.9,83.2976,0.936,57837.60313,Asia-Pacific,HI,5.7575,0.000846242,0,0.001881923,0.001825739,0.041227255,3.199906131,3.245687289,0.621485667,0.242581397,0.207203041,0.197772047,0.041227255,4.621216548,5.931485954,0.000846242,0,0.002180184,0.012443866,0.041227255,0.056697548,-5.874788406,3.747881272,104.6162702,43198.38836
Slovakia,3A,79.6,77.2659,0.858,20539.11598,EU,HI,5.453009766,0.806989412,0.051769626,1.191651274,0.001575466,0.117866414,2.280840447,4.450692638,0.590597937,0.183111747,0.893000638,0.042443931,0.117866414,2.904443778,4.731464446,0.806989412,0.053529722,1.810785723,0.002185736,0.117866414,2.791357007,-1.940107439,2.989633141,1.695040954,43223.08856
Slovenia,3A,81.6,81.3781,0.912,26709.6589,EU,HI,2.077840088,0.24743784,0.060313668,1.512543383,0.001227969,0.082507292,2.374753362,4.278783515,0.619900471,0.192604581,1.119268429,0.049340608,0.082507292,3.302579341,5.366200722,0.24743784,0.060313668,1.804858678,0.004314106,0.082507292,2.199431585,-3.166769137,3.390698949,2.439812522,43208.64742
Solomon Islands,2A,,72.835,0.564,1773.696245,Asia-Pacific,LI,0.652856995,0.34845311,0.005552469,3.479302698,2.581637372,0.131497254,0.106280969,6.652723872,0.387985442,0.042016417,0.078201522,1.076505756,0.131497254,0.05549867,1.771705061,0.34845311,0.005552469,2.137515213,1.005501637,0.131497254,3.628519683,1.856814622,1.119473311,0.488272137,43427.04618
Somalia,3A,45.6,57.068,,-,Africa,LI,15.0082002,0.039673923,0.383808447,0.397199402,0.003034062,0.029469649,0.01550053,0.868686012,0.166265638,0.370405331,0.409204312,0.003855076,0.029469649,0.036821684,1.016021689,0.039673923,0.383808447,0.137961192,0.227053796,0.029469649,0.817967006,-0.198054683,0.641985615,1.242130405,
South Africa,3A,63.7,,0.707,7440.411818,Africa,UM,57.7925,0.253768314,0.138960974,0.267682252,0.074292197,0.033710432,2.621680672,3.390094841,0.304365508,0.085069656,0.221165863,0.08417868,0.033710432,3.071972108,3.800462247,0.253768314,0.522085435,0.032844378,0.153766846,0.033710432,0.996175405,-2.804286842,2.401368121,3.815053282,43252.99669
South Sudan,3A,38.9,57.604,0.429,-,Africa,LM,10.97590039,0.252910001,1.064001972,0.162049935,0.004439206,0.043806944,0.048110027,1.575318085,0.289898005,1.0648363,0.160479059,0.004587674,0.043806944,0.048110027,1.611718009,0.252910001,1.064001972,0.361423441,0.006570099,0.043806944,1.728712456,0.116994447,1.018383553,0.932322783,43459.41113
Spain,3A,79.5,83.4317,0.905,32981.46081,EU,HI,46.69289844,0.977625811,0.132164411,0.258047521,0.371291443,0.064708135,1.921819309,3.72565663,1.132218605,0.161367595,0.298313005,0.348837481,0.064708135,2.386046384,4.391491206,0.977625811,0.132164411,0.302175492,0.058581087,0.064708135,1.535254936,-2.85623627,2.77481693,2.860431257,43232.54021
Sri Lanka,3A,68.1,76.812,0.779,4028.206816,Asia-Pacific,LM,21.22880078,0.270144029,0.001954932,0.104423563,0.229320181,0.052412223,0.346308227,1.004563155,0.36538912,0.014259939,0.164920675,0.248202779,0.052412223,0.668001219,1.513185955,0.270144029,0.019496378,0.043866541,0.06824952,0.052412223,0.454168692,-1.059017263,0.956124881,3.331770732,
State of Palestine,2B,,73.895,0.708,2805.316916,Middle East/Central Asia,LM,4.86297998,,,,,,,0.30010306,,,,,,,1.141595903,,,,,,0.095924858,-1.045671045,0.721331204,11.9009392,
Sudan,3A,49.5,65.095,0.506,1589.598459,Africa,LM,41.8015,0.522652613,0.522425497,0.159289858,0.000806863,0.047600457,0.163997151,1.416772439,0.538621926,0.511444823,0.167819687,0.001147536,0.047600457,0.208603091,1.475237519,0.522652613,0.522425497,0.248007643,0.02102452,0.047600457,1.36171073,-0.11352679,0.932146702,1.083370709,
Suriname,3A,67,71.57,0.734,8100.33174,South America,UM,0.57598999,0.347700373,0.024807813,1.362405057,0.356749948,0.093805471,1.355462259,3.54093092,0.322577574,0.001943934,0.741388953,0.248663172,0.093805471,1.656187948,3.064567052,0.347700373,0.024807813,73.03918528,6.86802567,0.093805471,80.37352461,77.30895755,1.936383825,0.038129061,43289.49569
Sweden,3A,85.6,82.5585,0.943,59067.51756,EU,HI,9.971639648,0.388176274,0.173192916,5.010403938,0.066012962,0.072081216,1.320884274,7.030751579,0.66320522,0.383629476,1.721358592,0.117643734,0.072081216,3.318337434,6.276255672,0.388176274,0.236758316,6.171598532,2.090464661,0.072081216,8.959078999,2.682823326,3.965728196,0.700546973,43193.03858
Switzerland,3A,80.1,83.7537,0.955,79173.21719,Other Europe,HI,8.525610352,0.144201487,0.104567407,0.340452899,0.002116829,0.051262746,1.51421003,2.156811399,0.589137184,0.190850007,0.335532831,0.065688437,0.051262746,3.115778934,4.348250139,0.144201487,0.104567407,0.688098095,0.006130699,0.051262746,0.994260434,-3.353989705,2.747494538,4.373351277,43233.84831
Syrian Arab Republic,3A,58,71.779,0.563,-,Middle East/Central Asia,LM,16.94509961,0.273943467,0.12769224,0.002404159,0.000789911,0.023485408,0.54192714,0.970242326,0.376322804,0.054940822,0.036044189,0.007823576,0.023485408,0.838387137,1.337003937,0.273943467,0.12769224,0.056807499,0.004848174,0.023485408,0.486776788,-0.850227149,0.844802138,2.746646862,
Tajikistan,2A,69.8,70.879,0.661,1073.023001,Middle East/Central Asia,LI,9.100830078,0.249689458,0.121868385,0.152255633,0.00022947,0.087882957,0.291679762,0.903605664,0.400579136,0.125396033,0.214265079,0.0020739,0.087882957,0.297452623,1.127649728,0.249689458,0.121868385,0.005789368,0.010373016,0.087882957,0.475603183,-0.652046545,0.712519145,2.370988607,
"Tanzania, United Republic of",3A,56.4,65.015,0.524,931.3041204,Africa,LI,56.31339844,0.444377568,0.285459299,0.201178355,0.086541804,0.064964022,0.068231107,1.150752156,0.413351827,0.283520092,0.205337604,0.076868879,0.064964022,0.128910369,1.172952795,0.444377568,0.285459299,0.137477687,0.051702183,0.064964022,0.983980759,-0.188972035,0.741144436,1.192048507,
Thailand,3A,74.2,76.931,0.772,6366.261694,Asia-Pacific,UM,69.4285,0.777926581,0.000937357,0.246512565,0.118769919,0.068644081,1.296743366,2.509533869,0.442609516,0.022266532,0.172701352,0.195614281,0.068644081,1.45053098,2.352366743,0.777926581,0.010256741,0.226364165,0.187576188,0.068644081,1.270767755,-1.081598988,1.48637143,1.851138206,43346.56446
Timor-Leste,2A,,69.26,0.599,839.8858211,Asia-Pacific,LM,1.267969971,0.170365711,0.053603918,0.025279529,0.002075389,0.038232732,0.103422559,0.392979838,0.33603669,0.058530786,0.03159323,0.024540132,0.038232732,0.103422559,0.592356131,0.170365711,0.053603918,0.574017999,0.829900605,0.038232732,1.666120966,1.073764835,0.374287399,0.355530086,
Togo,3A,53.2,60.76,0.51,676.9881071,Africa,LI,7.889089844,0.33498223,0.097519763,0.2276904,0.013111209,0.026832789,0.086569168,0.78670556,0.370508987,0.092992749,0.232955796,0.0723767,0.026832789,0.248064259,1.04373128,0.33498223,0.100304955,0.113681373,0.018094262,0.026832789,0.59389561,-0.449835669,0.659494256,1.757432218,
Tonga,2B,,70.801,0.723,4377.675767,Asia-Pacific,LM,0.103196999,,,,,,,1.002299775,,,,,,,2.920576524,,,,,,1.081313386,-1.839263139,1.845401666,2.7009529,43298.78892
Trinidad and Tobago,2A,63.5,73.38,0.795,15161.24195,Central America/Caribbean,HI,1.389839966,0.039977286,0.005884231,0.091549963,0.060080808,0.001119526,7.620681946,7.81929376,0.446147121,0.176773342,0.277206632,0.101332199,0.001119526,6.441162708,7.443741527,0.039977286,0.005884231,0.137007484,1.314688336,0.001119526,1.498676863,-5.945064665,4.70341828,4.96687559,43178.60313
Tunisia,3A,71.4,76.505,0.738,4408.371592,Africa,UM,11.5652002,0.331083796,0.07486234,0.135966358,0.063308646,0.024250611,0.873205639,1.502677389,0.586134481,0.062174459,0.240719542,0.068424287,0.024250611,1.042676234,2.024379615,0.331083796,0.07486234,0.033532471,0.221814652,0.024250611,0.685543869,-1.338835746,1.279128789,2.952954153,43386.35047
Turkey,3A,70.4,77.437,0.817,15180.93828,Middle East/Central Asia,UM,82.34010156,0.662302542,0.086787155,0.215395533,0.026390954,0.033648455,1.75300216,2.777526798,0.769736494,0.167141099,0.320367191,0.031554188,0.033648455,2.02277608,3.345223507,0.662302542,0.086787155,0.482529559,0.0393771,0.033648455,1.30464481,-2.040578697,2.113720007,2.564087544,43273.68134
Turkmenistan,3A,61.1,68.073,0.71,7647.951725,Middle East/Central Asia,LM,5.850899902,0.365679135,0.508856369,0.000644603,0.003381556,0.060640934,4.140585666,5.079788264,0.430756659,0.394893635,0.026756525,0.004950699,0.060640934,3.978909448,4.8969079,0.365679135,1.732750226,0.01302305,0.113192739,0.060640934,2.285286084,-2.611621816,3.094170593,2.142798634,43218.96376
Uganda,3A,53.5,62.973,0.538,933.7148073,Africa,LI,42.729,0.261472911,0.127932375,0.47255924,0.084023737,0.033276019,0.043808679,1.023072961,0.230416118,0.126405171,0.480022813,0.080284217,0.033276019,0.108552281,1.058956618,0.261472911,0.127932375,0.009394018,0.034999762,0.033276019,0.467075085,-0.591881533,0.669114571,2.267208534,
Ukraine,2A,75.5,71.5827,0.774,2960.706282,Other Europe,LM,44.24619922,1.931442768,0.00564744,0.232153504,0.002593927,0.084371418,1.539211913,3.79542097,0.634455903,0.012092626,0.190819759,0.061853229,0.084371418,1.439179955,2.42277289,1.931442768,0.138468018,0.429617286,0.154235643,0.084371418,2.738135133,0.315362243,1.530858407,0.884825902,43339.42832
United Arab Emirates,3A,70.2,77.814,0.889,41325.06018,Middle East/Central Asia,HI,9.630959961,0.019533249,0.001140106,0.000738054,0.138321138,0,6.419420206,6.579152753,0.916149625,0.553406104,0.409130524,0.277738017,0,5.939794374,8.096218645,0.019533249,0.001140106,0.060745377,0.43579149,0,0.517210221,-7.579008423,5.115693853,15.65363233,43172.34907
United Kingdom,3A,80,81.2561,0.928,42894.35427,EU,HI,67.14170313,0.397248597,0.102704468,0.103554521,0.093811481,0.126236258,1.84754566,2.671100985,0.698640582,0.25519311,0.443343061,0.083561728,0.126236258,2.572349038,4.179323778,0.397248597,0.102704468,0.11691349,0.284563165,0.126236258,1.027665978,-3.1516578,2.64075637,4.066811463,43239.21798
United States of America,3A,76,78.639,0.925,54723.9954,North America,HI,327.096,1.25749728,0.251620707,0.915305078,0.098262233,0.07230593,5.228363598,7.823354826,0.937991649,0.289092389,0.921738066,0.127889753,0.07230593,5.773365338,8.122383125,1.25749728,0.251620707,1.484394743,0.320083826,0.07230593,3.385902485,-4.73648064,5.132226196,2.398882768,43172.11923
Uruguay,3A,74.5,77.77,0.816,14617.54325,South America,UM,3.449280029,0.989639725,4.204666613,3.181953626,0.182540875,0.099627801,0.64356637,9.30199501,0.149610077,0.066018928,0.276909184,0.067655471,0.099627801,0.598799056,1.258620518,0.989639725,4.777020802,1.306966815,2.147420007,0.099627801,9.32067515,8.062054633,0.795274625,0.135035338,
Uzbekistan,3A,69.8,71.573,0.717,2408.610055,Middle East/Central Asia,LM,32.47619922,0.364525481,0.164675768,0.000492398,0.005812086,0.063724607,1.186534122,1.785764461,0.44658563,0.164465254,0.088533645,0.007124783,0.063724607,1.267932934,2.038366852,0.364525481,0.164675768,0.056411739,0.009392791,0.063724607,0.658730387,-1.379636466,1.287966794,3.094387163,43384.3924
Vanuatu,2C,60.5,70.323,0.603,2864.828553,Asia-Pacific,LM,0.292679993,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, Bolivarian Republic of",3A,59.3,72.128,0.733,-,South America,UM,28.88709961,0.114158454,0.592644385,0.087835907,0.0794515,0.029451533,1.386102288,2.289644067,0.285138507,0.621754227,0.088229742,0.076397734,0.029451533,1.290640623,2.391612365,0.114158454,0.592644385,1.773474857,0.2507359,0.029451533,2.760465128,0.368852763,1.511169252,0.866380213,43342.53482
Viet Nam,3A,72.8,75.317,0.7,1967.638624,Asia-Pacific,LM,95.546,0.525034706,0.003574024,0.350116283,0.092554996,0.091484041,0.956974058,2.019738109,0.513525211,0.027343548,0.425155435,0.074244515,0.091484041,1.140392919,2.272145669,0.525034706,0.009005332,0.159298645,0.153510885,0.091484041,0.93833361,-1.33381206,1.435682773,2.421468917,43355.23444
Yemen,3A,52.9,66.096,0.468,632.9095887,Middle East/Central Asia,LM,28.49869922,0.041438868,0.101234713,0.007659002,0.048568256,0.024911485,0.109249804,0.333062129,0.168041143,0.108651669,0.020444659,0.033403327,0.024911485,0.153089425,0.508541708,0.041438868,0.101234713,0.035518944,0.17154731,0.024911485,0.374651321,-0.133890387,0.32132824,1.357373323,
Zambia,3A,53.4,,0.582,1678.181464,Africa,LM,17.35169922,0.220545578,0.130643258,0.608300799,0.008665932,0.043482954,0.157293989,1.168932509,0.207057034,0.130973906,0.615155172,0.051749503,0.043482954,0.235610439,1.284029008,0.220545578,0.760214892,0.719844513,0.019367574,0.043482954,1.763455511,0.479426503,0.811329287,0.728132352,
Zimbabwe,3A,58.7,,0.569,1305.801054,Africa,LI,14.4387998,0.152608386,0.301816498,0.272790171,0.001765974,0.023204515,0.293603793,1.045789338,0.193398087,0.303349376,0.285176497,0.007224208,0.023204515,0.403335633,1.215688315,0.152608386,0.301816498,0.134279963,0.009870337,0.023204515,0.621779699,-0.593908617,0.768147393,1.95517531,